alias,standard_name
ami,amisulpride
amis,amisulpride
amisu,amisulpride
amisul,amisulpride
amisulp,amisulpride
amisulpiride,amisulpride
amisulpr,amisulpride
amisulpri,amisulpride
amisulprid,amisulpride
amisulpride,amisulpride
solian,amisulpride
솔리안,amisulpride
솔리앙,amisulpride
아미설프라이드,amisulpride
아미설프리드,amisulpride
abilfy,aripiprazole
abilifiy,aripiprazole
abilify,aripiprazole
apz,aripiprazole
ari,aripiprazole
arip,aripiprazole
aripi,aripiprazole
aripip,aripiprazole
aripipazole,aripiprazole
aripipr,aripiprazole
aripipra,aripiprazole
aripipraz,aripiprazole
aripiprazle,aripiprazole
aripiprazo,aripiprazole
aripiprazol,aripiprazole
aripiprazole,aripiprazole
aripirazole,aripiprazole
arp,aripiprazole
maintena,aripiprazole
아리피졸,aripiprazole
아리피졸정,aripiprazole
아리피프라조,aripiprazole
아리피프라졸,aripiprazole
아리피프라죨,aripiprazole
아빌리파,aripiprazole
아빌리파이,aripiprazole
아빌리파이오디정,aripiprazole
아빌리파이정,aripiprazole
아빌리파히,aripiprazole
asen,asenapine
asenapin,asenapine
asenapine,asenapine
asenapne,asenapine
asenpaine,asenapine
saphris,asenapine
사프리스,asenapine
아세나핀,asenapine
benztropine,benztropine
벤즈트로핀,benztropine
blonanserin,blonanserin
로나센,blonanserin
로나센정,blonanserin
블로난세린,blonanserin
bre,brexpiprazole
brexipiprazole,brexpiprazole
brexpiprazle,brexpiprazole
brexpiprazol,brexpiprazole
brexpiprazole,brexpiprazole
rexulti,brexpiprazole
렉설디,brexpiprazole
렉설티,brexpiprazole
브렉스피프라졸,brexpiprazole
chloropromazine,chlorpromazine
chlorpromazin,chlorpromazine
chlorpromazine,chlorpromazine
chlorpromzine,chlorpromazine
cpz,chlorpromazine
largactil,chlorpromazine
라가틸,chlorpromazine
클로르프로마진,chlorpromazine
clozapin,clozapine
clozapine,clozapine
clozapne,clozapine
clozaril,clozapine
clozpaine,clozapine
clozrail,clozapine
clz,clozapine
클로자린,clozapine
클로자릴,clozapine
클로자핀,clozapine
클로자필,clozapine
escitalopram,escitalopram
에스시탈로프람,escitalopram
fluph,fluphenazine
fluphenazin,fluphenazine
fluphenazine,fluphenazine
fluphenzine,fluphenazine
prolixin,fluphenazine
플루페나진,fluphenazine
hal,haloperidol
haldol,haloperidol
haloperdol,haloperidol
haloperidol,haloperidol
haloperidolum,haloperidol
haloperiol,haloperidol
hd,haloperidol
할돌,haloperidol
할로페리도,haloperidol
할로페리돌,haloperidol
fanapt,iloperidone
ilo,iloperidone
iloperidne,iloperidone
iloperidon,iloperidone
iloperidone,iloperidone
일로페리돈,iloperidone
lithium,lithium
리튬,lithium
latuda,lurasidone
lur,lurasidone
lurasidne,lurasidone
lurasidon,lurasidone
lurasidone,lurasidone
라투다,lurasidone
라투다정,lurasidone
루라시도,lurasidone
루라시돈,lurasidone
ola,olanzapine
olan,olanzapine
olanzapin,olanzapine
olanzapine,olanzapine
olanzapne,olanzapine
olanzepine,olanzapine
olanzpaine,olanzapine
olz,olanzapine
zypadhera,olanzapine
zyprexa,olanzapine
올란자핀,olanzapine
올란자필,olanzapine
자이자핀,olanzapine
자이자핀정,olanzapine
자이프랙사,olanzapine
자이프렉사,olanzapine
자이프렉사정,olanzapine
자이프렉샤,olanzapine
byannli,paliperidone
invega,paliperidone
pal,paliperidone
paliperdone,paliperidone
paliperidne,paliperidone
paliperidon,paliperidone
paliperidone,paliperidone
paliperiodone,paliperidone
pariperidone,paliperidone
trevicta,paliperidone
xeplion,paliperidone
인베가,paliperidone
인베가서방정,paliperidone
팔리페리도,paliperidone
팔리페리돈,paliperidone
per,perphenazine
perphenan,perphenazine
perphenazin,perphenazine
perphenazine,perphenazine
perphenazne,perphenazine
트릴라폰,perphenazine
퍼페나진,perphenazine
qtp,quetiapine
quetiapiene,quetiapine
quetiapin,quetiapine
quetiapine,quetiapine
quetiapne,quetiapine
quetiepine,quetiapine
quetipine,quetiapine
seroqel,quetiapine
seroquel,quetiapine
seroquell,quetiapine
세로캘,quetiapine
세로켈,quetiapine
쎄로캘,quetiapine
쎄로켈,quetiapine
쎄로켈서방정,quetiapine
쎄로켈정,quetiapine
케티아핀,quetiapine
코티아핀,quetiapine
쿠에타핀,quetiapine
쿠에타핀정,quetiapine
쿠에티아핀,quetiapine
쿠에티아필,quetiapine
퀘티아핀,quetiapine
퀘티아필,quetiapine
큐로켈,quetiapine
큐로켈정,quetiapine
okedi,risperidone
ris,risperidone
risperdal,risperidone
risperdone,risperidone
risperidne,risperidone
risperidon,risperidone
risperidone,risperidone
risperidonne,risperidone
rsp,risperidone
리스패달,risperidone
리스페달,risperidone
리스페달정,risperidone
리스페덜,risperidone
리스페리도,risperidone
리스페리돈,risperidone
serdolect,sertindole
sert,sertindole
sertindol,sertindole
sertindole,sertindole
sertindolle,sertindole
세르틴돌,sertindole
mellaril,thioridazine
thio,thioridazine
thioridazin,thioridazine
thioridazine,thioridazine
thioridazne,thioridazine
멜라릴,thioridazine
티오리다진,thioridazine
navane,thiothixene
thiothix,thiothixene
thiothixen,thiothixene
thiothixene,thiothixene
thiothixine,thiothixene
티오틱센,thiothixene
stelazine,trifluoperazine
tri,trifluoperazine
trifluoperazin,trifluoperazine
trifluoperazine,trifluoperazine
trifluoperzine,trifluoperazine
스텔라진,trifluoperazine
트리플루오페라진,trifluoperazine
geodon,ziprasidone
zip,ziprasidone
ziprasdone,ziprasidone
ziprasidne,ziprasidone
ziprasidon,ziprasidone
ziprasidone,ziprasidone
지오돈,ziprasidone
지프라시돈,ziprasidone
lodopin,zotepine
zot,zotepine
zotepin,zotepine
zotepine,zotepine
zotepinne,zotepine
로도핀,zotepine
조테핀,zotepine
benperidol,benperidol
clopenthixol,clopenthixol
chlorprothixene,chlorprothixene
clotiapine,clotiapine
oxypertine,oxypertine
pericyazine,pericyazine
pimozide,pimozide
prochlorperazine,prochlorperazine
remoxipride,remoxipride
sulpiride,sulpiride
trifluperidol,trifluperidol
triflupromazine,triflupromazine
zuclopenthixol,zuclopenthixol
droperidol,droperidol
flupentixol,flupentixol
levomepromazine,levomepromazine
loxapine,loxapine
mesoridazine,mesoridazine
methotrimeprazine,methotrimeprazine
molindone,molindone
sustenna,paliperidone
trinza,paliperidone
hafyera,paliperidone
invega sustenna,paliperidone
invega trinza,paliperidone
invega hafyera,paliperidone
서스티나,paliperidone
트린자,paliperidone
